pred_peak_low,pred_peak_high,real_peak_low,real_peak_high
3.0,6.0,3.2,46.800000000000004
3.0,7.5,3.4000000000000004,49.00000000000001
3.0,9.0,3.2,47.800000000000004
6.0,12.0,6.4,66.0
6.0,15.0,6.6000000000000005,9.8
6.0,18.0,6.4,70.8
9.0,18.0,9.6,73.6
9.0,22.5,9.8,73.6
9.0,27.0,9.8,79.8
