normative_name,x,y,z,RSR_lowFreq,RSR_highFreq
p01_A_1_2,-0.0179422399887892,-0.0141579471993267,-0.0185547450621291,0.0062041053233043,0.0003651633016293
p01_A_2_3,-0.0211485234962066,-0.0150774467019494,-0.01829063876552,0.0087407260531142,-0.0013426176270656
p01_A_3_4,-0.0246503287224832,-0.0161029842020765,-0.0180355249518011,0.0147933402865579,0.0058164181043654
p01_A_4_5,-0.0280675655041591,-0.017148713650849,-0.017648635387367,-0.001921358214734,0.0097021328237831
p01_A_9_10,-0.045205443244757,-0.0218920078341788,-0.016185303061556,0.0063270097125582,-0.0027834299690445
p01_A_10_11,-0.0487154032815958,-0.0229503488735591,-0.0160761603436261,0.0010637753366288,-0.0034089248126318
p01_A_11_12,-0.0522120733383001,-0.0240136088483179,-0.0159570276523054,0.0064240823761259,-0.0005814192792671
p01_A_12_13,-0.055546665895641,-0.0249178111613627,-0.0157824650625576,0.0069514700131891,-0.00818286753033
p01_A'_1_2,0.0183310803941733,-9.2387000294342e-05,-0.0271393910817154,0.002862347823717,0.0081544073285881
p01_A'_2_3,0.0213816240212296,0.0009315456132404,-0.0274761155628551,0.0099616851807291,-0.0003228288633019
p01_A'_3_4,0.024660509302137,0.00201503623223,-0.0278769512333336,0.0131234713048567,-0.0116628356622475
p01_A'_4_5,0.0279542084457239,0.0030886240083481,-0.0282643815523602,0.0046790005565473,0.00041737774829
p01_A'_5_6,0.0315386975846548,0.0041372290754637,-0.0285949896713182,0.0050732737324649,0.0036254067882699
p01_A'_6_7,0.0351003126707597,0.0052886649653191,-0.0290001542534617,0.0180990247146318,0.0018526799182357
p01_A'_7_8,0.0384889672885575,0.0064701955682605,-0.0293596835655579,0.0117005242533536,-0.0001941302448627
p01_A'_8_9,0.041927143605014,0.0076962904476605,-0.0297254207707371,0.0156550292082753,-0.0073149623018346
p01_A'_9_10,0.0453415766637213,0.0088719387138967,-0.030192664716969,0.0126233853859344,-0.0028937008014669
p01_A'_10_11,0.0487512126827925,0.0100009909237879,-0.0307728173144085,0.0096092819472663,-0.0052217704102046
p01_A'_11_12,0.051832384322707,0.011115625660924,-0.0312919871065069,0.0084843859919391,-0.0089797668128423
p01_B_1_2,-0.0216708161158151,-0.0337059178596565,-0.0149562897166271,-0.0045501010549952,-0.0007262062460982
p01_B_2_3,-0.0248210003631704,-0.0346269992075973,-0.0146410646296092,0.0056380936981294,-0.0005693031060181
p01_B_3_4,-0.0281852663401565,-0.0356227536465432,-0.014324389051404,0.0106144842615465,0.0015443787192996
p01_B_4_5,-0.0315938431251623,-0.0364940043329549,-0.0139107442367505,0.0080623346769586,0.0018614284924381
p01_B_5_6,-0.0349810636574621,-0.0374066332318445,-0.0134492162068665,0.0171741299661487,0.0048422158427504
p01_B_6_7,-0.0384626411209141,-0.0383283659846386,-0.012976080767078,0.0041886042694151,-0.0059732969788125
p01_B_7_8,-0.0419235520930329,-0.0392540422735866,-0.0126238698619215,0.0048341286701915,0.0005183935190142
p01_B_8_9,-0.0453283470680576,-0.0402415325262386,-0.0123421051928525,0.0077285217615658,0.0085983730387139
p01_B_9_10,-0.0488118784869581,-0.0412828124326082,-0.0121259232368519,-0.0022077946227508,0.0057097434983097
p01_B_10_11,-0.0523405516514096,-0.0423097374498376,-0.0118997923248791,0.0047341618637677,-0.0004792439952926
p01_B_11_12,-0.0557394159584498,-0.0432459721956433,-0.0116095696905102,0.0024572823826155,0.0064892017234743
p01_CR_1_2,-0.0194951152996464,0.0371352373663064,-0.005251156525088,0.0106882501051764,0.0071783969092521
p01_CR_2_3,-0.0230323107314102,0.0372268435880853,-0.0046827987732973,0.0043619618394835,-0.0039331405808763
p01_CR_3_4,-0.0265657600444648,0.0373337499862124,-0.004081059780781,-0.000870559190809,0.0041764607870012
p01_CR_10_11,-0.0514403073406368,0.0382383884704676,0.0001683014011618,0.0131146568878403,-0.0024109729921978
p01_GPH_1_2,-0.0080965364508458,-0.046763351107883,-0.013486137297754,0.0140322840622028,-0.0001779513359431
p01_GPH_2_3,-0.0114094996829215,-0.0474475312272034,-0.0124484446742209,-0.0016154443577942,0.0061332977927677
p01_GPH_3_4,-0.0147227534539161,-0.048125864868664,-0.0114183803953826,0.0041282062928674,-0.0022152586178926
p01_GPH_4_5,-0.018014079134789,-0.0488129523948259,-0.0104193975527719,0.0044960349312324,-0.0007475482579464
p01_GPH_5_6,-0.0213128162085348,-0.0495216259110914,-0.0095143925135926,0.0014073759804532,0.002686042044047
