env_idx,final_point,sfreq,stim_duration,stim_names,suj,id,phon,sti,nb_phon,nb_syll,syll*phon,all_id
251,484,256,1.78,9_Hz_mid_160597,s3,9,m,160597,20,8,3.6,92
43,1792,256,6.67,3_Hz_mid_172709,s3,3,m,172709,25,10,1.2000000000000002,32
20,1621,256,6.0,3_Hz_low_241579,s3,3,l,241579,18,9,1.5,31
201,811,256,3.0,6_Hz_hig_68034,s3,6,h,68034,27,9,2.0,63
280,484,256,1.78,9_Hz_hig_103682,s3,9,h,103682,24,8,3.0,93
282,484,256,1.78,9_Hz_hig_116796,s3,9,h,116796,24,8,3.0,93
268,597,256,2.22,9_Hz_mid_281619,s3,9,m,281619,25,10,3.6,92
44,1793,256,6.67,3_Hz_mid_173038,s3,3,m,173038,25,10,1.2000000000000002,32
252,484,256,1.78,9_Hz_mid_162241,s3,9,m,162241,20,8,3.6,92
271,598,256,2.22,9_Hz_mid_36255,s3,9,m,36255,25,10,3.6,92
95,1621,256,6.0,3_Hz_hig_66396,s3,3,h,66396,27,9,1.0,33
75,1280,256,4.67,3_Hz_hig_131912,s3,3,h,131912,21,7,1.0,33
58,1791,256,6.66,3_Hz_mid_281619,s3,3,m,281619,25,10,1.2000000000000002,32
90,1280,256,4.67,3_Hz_hig_274227,s3,3,h,274227,21,7,1.0,33
105,725,256,2.67,6_Hz_low_100432,s3,6,l,100432,16,8,3.0,61
261,484,256,1.78,9_Hz_mid_227135,s3,9,m,227135,20,8,3.6,92
222,427,256,1.56,9_Hz_low_186532,s3,9,l,186532,14,7,4.5,91
21,1621,256,6.0,3_Hz_low_264338,s3,3,l,264338,18,9,1.5,31
17,1451,256,5.33,3_Hz_low_225690,s3,3,l,225690,16,8,1.5,31
253,598,256,2.22,9_Hz_mid_172709,s3,9,m,172709,25,10,3.6,92
117,640,256,2.33,6_Hz_low_186532,s3,6,l,186532,14,7,3.0,61
19,1792,256,6.67,3_Hz_low_236202,s3,3,l,236202,20,10,1.5,31
195,640,256,2.33,6_Hz_hig_274227,s3,6,h,274227,21,7,2.0,63
39,1451,256,5.33,3_Hz_mid_133074,s3,3,m,133074,20,8,1.2000000000000002,32
192,640,256,2.33,6_Hz_hig_264851,s3,6,h,264851,21,7,2.0,63
35,1451,256,5.33,3_Hz_mid_105349,s3,3,m,105349,20,8,1.2000000000000002,32
96,1621,256,6.0,3_Hz_hig_68034,s3,3,h,68034,27,9,1.0,33
9,1792,256,6.67,3_Hz_low_174545,s3,3,l,174545,20,10,1.5,31
262,484,256,1.78,9_Hz_mid_247704,s3,9,m,247704,20,8,3.6,92
109,810,256,3.0,6_Hz_low_135844,s3,6,l,135844,18,9,3.0,61
256,484,256,1.78,9_Hz_mid_180819,s3,9,m,180819,20,8,3.6,92
198,725,256,2.67,6_Hz_hig_43190,s3,6,h,43190,24,8,2.0,63
181,554,256,2.0,6_Hz_hig_133067,s3,6,h,133067,18,6,2.0,63
205,810,256,3.0,6_Hz_hig_75049,s3,6,h,75049,27,9,2.0,63
308,597,256,2.22,9_Hz_hig_71719,s3,9,h,71719,30,10,3.0,93
112,725,256,2.67,6_Hz_low_158330,s3,6,l,158330,16,8,3.0,61
257,484,256,1.78,9_Hz_mid_190734,s3,9,m,190734,20,8,3.6,92
272,484,256,1.78,9_Hz_mid_43197,s3,9,m,43197,20,8,3.6,92
223,598,256,2.22,9_Hz_low_19298,s3,9,l,19298,20,10,4.5,91
34,1450,256,5.33,3_Hz_low_95064,s3,3,l,95064,16,8,1.5,31
228,540,256,2.0,9_Hz_low_235366,s3,9,l,235366,18,9,4.5,91
24,1450,256,5.33,3_Hz_low_279880,s3,3,l,279880,16,8,1.5,31
84,1622,256,6.0,3_Hz_hig_224367,s3,3,h,224367,27,9,1.0,33
149,896,256,3.33,6_Hz_mid_173038,s3,6,m,173038,25,10,2.4000000000000004,62
302,483,256,1.78,9_Hz_hig_33633,s3,9,h,33633,24,8,3.0,93
212,483,256,1.78,9_Hz_low_112599,s3,9,l,112599,16,8,4.5,91
139,725,256,2.66,6_Hz_low_95064,s3,6,l,95064,16,8,3.0,61
204,725,256,2.67,6_Hz_hig_74139,s3,6,h,74139,24,8,2.0,63
287,483,256,1.78,9_Hz_hig_139345,s3,9,h,139345,24,8,3.0,93
64,1451,256,5.34,3_Hz_mid_49814,s3,3,m,49814,20,8,1.2000000000000002,32
124,897,256,3.34,6_Hz_low_236202,s3,6,l,236202,20,10,3.0,61
126,810,256,3.0,6_Hz_low_264338,s3,6,l,264338,18,9,3.0,61
292,483,256,1.78,9_Hz_hig_194717,s3,9,h,194717,24,8,3.0,93
107,725,256,2.67,6_Hz_low_112599,s3,6,l,112599,16,8,3.0,61
