features,accuracies
spectral_skewness,0.39351851851851843
spectral_skewness,0.4095441595441595
spectral_skewness,0.4351851851851852
spectral_skewness,0.4055080721747388
spectral_skewness,0.4290123456790123
spectral_skewness,0.42556980056980054
spectral_skewness,0.422008547008547
spectral_skewness,0.4246201329534663
spectral_skewness,0.41571699905033227
spectral_skewness,0.42497625830959157
spectral_slope,0.4217711301044634
spectral_slope,0.42260208926875586
spectral_slope,0.4123931623931623
spectral_slope,0.41832858499525166
spectral_slope,0.4344729344729344
spectral_slope,0.4129867046533713
spectral_slope,0.43459164292497626
spectral_slope,0.42794396961063624
spectral_slope,0.4918091168091168
spectral_slope,0.4284188034188034
f0_contour,0.4728157644824311
f0_contour,0.48243114909781576
f0_contour,0.4630816714150047
f0_contour,0.48563627730294395
f0_contour,0.4669990503323836
f0_contour,0.46688034188034183
f0_contour,0.48231244064577394
f0_contour,0.4893162393162392
f0_contour,0.4698480531813865
f0_contour,0.45405982905982906
spectral_spread,0.48278727445394115
spectral_spread,0.46735517568850904
spectral_spread,0.5054605887939222
spectral_spread,0.43138651471984807
spectral_spread,0.517687559354226
spectral_spread,0.5116334283000951
spectral_spread,0.5335944919278252
spectral_spread,0.4857549857549857
spectral_spread,0.4978632478632478
spectral_spread,0.48919753086419754
rms,0.5079534662867996
rms,0.5331196581196581
rms,0.5528252611585945
rms,0.568019943019943
rms,0.5078347578347578
rms,0.530389363722697
rms,0.5172127255460589
rms,0.5362060778727445
rms,0.5018993352326686
rms,0.5360873694207027
mfcc,0.5105650522317189
mfcc,0.5216049382716049
mfcc,0.5394112060778727
mfcc,0.5270655270655271
mfcc,0.5332383665716999
mfcc,0.5333570750237416
mfcc,0.5618471035137702
mfcc,0.5132953466286799
mfcc,0.5330009496676164
mfcc,0.5299145299145299
envelope derivative,0.5172127255460589
envelope derivative,0.545346628679962
envelope derivative,0.5391737891737892
envelope derivative,0.5435660018993352
envelope derivative,0.5081908831908831
envelope derivative,0.5360873694207027
envelope derivative,0.5516381766381766
envelope derivative,0.5454653371320038
envelope derivative,0.5522317188983855
envelope derivative,0.5460588793922128
envelope,0.5648148148148149
envelope,0.5676638176638177
envelope,0.5422602089268757
envelope,0.5655270655270654
envelope,0.5645773979107312
envelope,0.5619658119658119
envelope,0.5966286799620133
envelope,0.5327635327635326
envelope,0.5871320037986704
envelope,0.5527065527065528
spectral_centroid,0.6090930674264007
spectral_centroid,0.5777540360873694
spectral_centroid,0.5649335232668565
spectral_centroid,0.5709876543209876
spectral_centroid,0.5905745489078823
spectral_centroid,0.6003086419753086
spectral_centroid,0.6407882241215574
spectral_centroid,0.6055318138651472
spectral_centroid,0.6254748338081672
spectral_centroid,0.5803656220322887
spectral_flux,0.614553656220323
spectral_flux,0.6028015194681862
spectral_flux,0.6032763532763533
spectral_flux,0.6062440645773979
spectral_flux,0.6255935422602089
spectral_flux,0.549738841405508
spectral_flux,0.5968660968660968
spectral_flux,0.593542260208927
spectral_flux,0.6064814814814815
spectral_flux,0.6060066476733145
