envelope,mfcc,spectral_flux,f0_contour,spectral_slope,spectral_centroid,spectral_spread,spectral_skewness,rms,envelope derivative,cond
0.9300957481337228,0.9777669587796172,0.9206832197338526,0.6984745212593314,0.9651493021746188,0.97780753002272,0.8446121389159363,0.8508195391106784,0.8762982797792924,0.9015335929892891,0
0.9015335929892891,0.9873417721518988,0.920561506004544,0.7143378773125608,0.9619441739694904,0.9904657578708213,0.8443281402142162,0.83820188250568,0.8762171372930867,0.9047387211944172,0
0.9143135345666992,0.990506329113924,0.9142729633235962,0.7553959753326842,0.9586984745212594,0.987301200908796,0.8633966244725738,0.8445309964297306,0.8920804933463161,0.9143135345666992,0
0.920561506004544,0.974521259331386,0.9110272638753651,0.7524342745861733,0.9746024018175916,0.9746835443037974,0.8444904251866278,0.8539840960727038,0.8666828951639078,0.91727523531321,0
0.9143135345666992,0.9841772151898734,0.9301363193768256,0.7425754625121713,0.9714784160986694,0.97780753002272,0.8475738396624473,0.8507789678675756,0.882627393703343,0.8952044790652386,0
0.8982067510548524,0.9873012009087958,0.907781564427134,0.7394920480363518,0.9522070756247972,0.9873417721518988,0.8443687114573191,0.8571080817916261,0.876095423563778,0.8887942226549822,0
0.9174780915287244,0.990506329113924,0.9206020772476468,0.7013550795196365,0.964987017202207,0.9808909444985394,0.8603132099967543,0.8441658552418045,0.8952044790652386,0.8952856215514443,0
0.9237260629665692,0.9873417721518988,0.904901006166829,0.7491074326517365,0.9554933463161313,0.97780753002272,0.8444092827004219,0.8729714378448555,0.8728497241155468,0.8856702369360597,0
0.9238072054527752,0.977726387536514,0.920561506004544,0.7459428756897111,0.9619847452125934,0.9746024018175916,0.847695553391756,0.8443687114573191,0.8952044790652386,0.901574164232392,0
0.9206020772476468,0.990506329113924,0.9047792924375202,0.7651736449204803,0.9619036027263876,0.9808909444985394,0.8508601103537812,0.8572703667640377,0.8699691658552418,0.9048198636806232,0
0.4541139240506329,0.5268175916910094,0.5081953911067835,0.3458698474521259,0.4823920804933463,0.5363924050632911,0.3808828302499188,0.365141187925998,0.4412528399870172,0.4952937358000649,1
0.4857594936708861,0.5112382343395001,0.4889646218760143,0.3271665043816942,0.45407335280753,0.5268987341772151,0.403399870172022,0.3427458617332035,0.4192632262252515,0.4319214540733528,1
0.4856377799415774,0.5079113924050633,0.517486205777345,0.3364167478091528,0.4447419668938656,0.4858000649139889,0.4124878286270691,0.3682651736449205,0.4190603700097371,0.4444173969490425,1
0.4953343070431678,0.5143622200584226,0.4668938656280428,0.3332927620902304,0.4510305095748134,0.5367575462512171,0.3841285296981499,0.3177134047387212,0.4668127231418371,0.4795115222330413,1
0.4603213242453748,0.5046251217137293,0.4763875365141188,0.3776777020447907,0.4666098669263226,0.5271015903927296,0.3969084712755599,0.3744725738396624,0.4128529698149952,0.4253894839337877,1
0.4828383641674781,0.5270204479065238,0.4825137942226549,0.3175105485232067,0.4666910094125284,0.5650357026939306,0.3745942875689711,0.3587715027588445,0.4255923401493022,0.4637698799091204,1
0.4792680947744239,0.5240181759169101,0.5111165206101915,0.3397030185004869,0.4665692956832197,0.5174050632911393,0.3809639727361246,0.3554852320675105,0.4381288542680948,0.4539922103213243,1
0.5016228497241155,0.517486205777345,0.4887617656604998,0.3332927620902304,0.4572379097695553,0.5557043167802661,0.4193037974683544,0.3237585199610516,0.4221032132424537,0.4508682246024018,1
0.4412528399870172,0.5172833495618306,0.4603618954884777,0.3143865628042843,0.4855972086984745,0.5619117169750081,0.3807611165206102,0.3430298604349237,0.4509899383317104,0.4223060694579681,1
0.4475008114248621,0.5365546900357027,0.4697744238883479,0.3204722492697176,0.4920480363518338,0.5523774748458292,0.3838851022395326,0.3462349886400519,0.44129341123012,0.4507465108730932,1
0.9622507122507122,0.9430199430199432,0.9430199430199432,0.7428774928774929,0.961894586894587,0.9903846153846154,0.8002136752136753,0.8671652421652422,0.90491452991453,0.9718660968660968,2
0.9807692307692308,0.9526353276353275,0.9715099715099716,0.7247150997150997,0.951923076923077,0.9903846153846154,0.8198005698005697,0.8383190883190883,0.91488603988604,0.9718660968660968,2
0.9715099715099716,0.9334045584045584,0.9430199430199432,0.7037037037037036,0.9042022792022792,1.0,0.8287037037037037,0.8475783475783476,0.9234330484330484,0.9426638176638176,2
0.9711538461538464,0.923789173789174,0.9718660968660968,0.8094729344729344,0.9615384615384616,0.9903846153846154,0.7521367521367521,0.8183760683760684,0.9145299145299146,0.9522792022792024,2
0.9807692307692308,0.9426638176638178,0.9903846153846154,0.7510683760683761,0.9522792022792024,0.9903846153846154,0.7517806267806267,0.8190883190883191,0.9141737891737892,0.961894586894587,2
0.9615384615384616,0.9526353276353275,0.961894586894587,0.6955128205128205,0.9430199430199432,0.9903846153846154,0.780982905982906,0.8393874643874644,0.8757122507122508,0.9711538461538464,2
0.9433760683760684,0.9519230769230768,0.9522792022792024,0.7143874643874644,0.9526353276353275,1.0,0.7913105413105413,0.819088319088319,0.91488603988604,0.9423076923076924,2
